target_slot	color	position	swapped_node
137	H	27	72
137	F	26	145
137	B	56	290
137	E	7	580
137	D	55	1161
138	A	0	2
138	C	0	4
138	G	0	9
138	I	26	18
138	J	25	36
138	H	27	72
138	F	26	145
138	B	56	290
138	E	8	581
138	D	56	1162
139	A	0	2
139	C	0	4
139	G	0	9
139	I	26	18
139	J	25	36
139	H	27	72
139	F	26	145
139	B	56	290
139	E	8	581
139	D	57	1163
140	A	0	2
140	C	0	4
140	G	0	9
140	I	26	18
140	J	25	36
140	H	27	72
140	F	26	145
140	D	53	291
140	B	57	582
140	E	9	1164
141	A	0	2
141	C	0	4
141	G	0	9
141	I	26	18
141	J	25	36
141	H	27	72
141	F	26	145
141	D	53	291
141	B	57	582
141	E	10	1165
142	A	0	2
142	C	0	4
142	G	0	9
142	I	26	18
142	J	25	36
142	H	27	72
142	F	26	145
142	D	53	291
142	B	58	583
142	E	11	1166
143	A	0	2
143	C	0	4
143	G	0	9
143	I	26	18
143	J	25	36
143	H	27	72
143	F	26	145
143	D	53	291
143	B	58	583
143	E	12	1167
144	A	0	2
144	C	0	4
144	G	0	9
144	I	26	18
144	J	25	36
144	E	1	73
144	D	58	146
144	F	32	292
144	H	28	584
144	B	61	1168
145	A	0	2
145	C	0	4
145	G	0	9
145	I	26	18
145	J	25	36
145	E	1	73
145	D	58	146
145	F	32	292
145	H	28	584
145	B	62	1169
146	A	0	2
146	C	0	4
146	G	0	9
146	I	26	18
146	J	25	36
146	E	1	73
146	D	58	146
146	F	32	292
146	H	29	585
146	B	63	1170
147	A	0	2
147	C	0	4
147	G	0	9
147	I	26	18
147	J	25	36
147	E	1	73
147	D	58	146
147	F	32	292
147	H	29	585
147	B	64	1171
148	A	0	2
148	C	0	4
148	G	0	9
148	I	26	18
148	J	25	36
148	E	1	73
148	D	58	146
148	B	60	293
148	F	33	586
148	H	31	1172
149	A	0	2
149	C	0	4
149	G	0	9
149	I	26	18
149	J	25	36
149	E	1	73
149	D	58	146
149	B	60	293
149	F	33	586
149	H	32	1173
150	A	0	2
150	C	0	4
150	G	0	9
150	I	26	18
150	J	25	36
150	E	1	73
150	D	58	146
150	B	60	293
150	H	30	587
150	F	34	1174
151	A	0	2
151	C	0	4
151	G	0	9
151	I	26	18
151	J	25	36
151	E	1	73
151	D	58	146
151	B	60	293
151	H	30	587
151	F	35	1175
152	A	0	2
152	C	0	4
152	G	0	9
152	I	26	18
152	J	25	36
152	E	1	73
152	B	59	147
152	F	36	294
152	H	33	588
152	D	60	1176
153	A	0	2
153	C	0	4
153	G	0	9
153	I	26	18
153	J	25	36
153	E	1	73
153	B	59	147
153	F	36	294
153	H	33	588
153	D	61	1177
154	A	0	2
154	C	0	4
154	G	0	9
154	I	26	18
154	J	25	36
154	E	1	73
154	B	59	147
154	F	36	294
154	H	34	589
154	D	62	1178
155	A	0	2
155	C	0	4
155	G	0	9
155	I	26	18
155	J	25	36
155	E	1	73
155	B	59	147
155	F	36	294
155	H	34	589
155	D	63	1179
156	A	0	2
156	C	0	4
156	G	0	9
156	I	26	18
156	J	25	36
156	E	1	73
156	B	59	147
156	D	59	295
156	F	37	590
156	H	35	1180
