key,address,leaf_type,leaf_type_name,first_seen_block
polygon-zkevm:0xa8ce8aee21bc2a48a5ef670afcc9274c7bbbc035:SMT_KEY:4,0xa8ce8aee21bc2a48a5ef670afcc9274c7bbbc035,4,code_hash_length,22049835
polygon-zkevm:0x17fc3813d8761eab20e8d16ba7d38b92547dec91:SMT_KEY:0,0x17fc3813d8761eab20e8d16ba7d38b92547dec91,0,balance,22049905
polygon-zkevm:0x17fc3813d8761eab20e8d16ba7d38b92547dec91:SMT_KEY:1,0x17fc3813d8761eab20e8d16ba7d38b92547dec91,1,nonce,22049905
polygon-zkevm:0x17fc3813d8761eab20e8d16ba7d38b92547dec91:SMT_KEY:2,0x17fc3813d8761eab20e8d16ba7d38b92547dec91,2,code_hash,22049905
polygon-zkevm:0x17fc3813d8761eab20e8d16ba7d38b92547dec91:SMT_KEY:4,0x17fc3813d8761eab20e8d16ba7d38b92547dec91,4,code_hash_length,22049905
polygon-zkevm:0xa06e1351e2fd2d45b5d35633ca7ecf328684a109:SMT_KEY:0,0xa06e1351e2fd2d45b5d35633ca7ecf328684a109,0,balance,22049915
polygon-zkevm:0xa06e1351e2fd2d45b5d35633ca7ecf328684a109:SMT_KEY:1,0xa06e1351e2fd2d45b5d35633ca7ecf328684a109,1,nonce,22049915
polygon-zkevm:0xa06e1351e2fd2d45b5d35633ca7ecf328684a109:SMT_KEY:2,0xa06e1351e2fd2d45b5d35633ca7ecf328684a109,2,code_hash,22049915
polygon-zkevm:0xa06e1351e2fd2d45b5d35633ca7ecf328684a109:SMT_KEY:4,0xa06e1351e2fd2d45b5d35633ca7ecf328684a109,4,code_hash_length,22049915
polygon-zkevm:0xcf32d3b339b7e19c55afc211c21af0eb6466e775:SMT_KEY:0,0xcf32d3b339b7e19c55afc211c21af0eb6466e775,0,balance,22049915
polygon-zkevm:0xcf32d3b339b7e19c55afc211c21af0eb6466e775:SMT_KEY:1,0xcf32d3b339b7e19c55afc211c21af0eb6466e775,1,nonce,22049915
polygon-zkevm:0xcf32d3b339b7e19c55afc211c21af0eb6466e775:SMT_KEY:2,0xcf32d3b339b7e19c55afc211c21af0eb6466e775,2,code_hash,22049915
polygon-zkevm:0xcf32d3b339b7e19c55afc211c21af0eb6466e775:SMT_KEY:4,0xcf32d3b339b7e19c55afc211c21af0eb6466e775,4,code_hash_length,22049915
polygon-zkevm:0x671cb29d53ca762c749f995a6e7af8900732168f:SMT_KEY:0,0x671cb29d53ca762c749f995a6e7af8900732168f,0,balance,22050020
polygon-zkevm:0x671cb29d53ca762c749f995a6e7af8900732168f:SMT_KEY:1,0x671cb29d53ca762c749f995a6e7af8900732168f,1,nonce,22050020
polygon-zkevm:0x671cb29d53ca762c749f995a6e7af8900732168f:SMT_KEY:2,0x671cb29d53ca762c749f995a6e7af8900732168f,2,code_hash,22050020
polygon-zkevm:0x671cb29d53ca762c749f995a6e7af8900732168f:SMT_KEY:4,0x671cb29d53ca762c749f995a6e7af8900732168f,4,code_hash_length,22050020
polygon-zkevm:0xe5e23462178f118daeb03da7db6a6ef8e9129bac:SMT_KEY:0,0xe5e23462178f118daeb03da7db6a6ef8e9129bac,0,balance,22050070
polygon-zkevm:0xe5e23462178f118daeb03da7db6a6ef8e9129bac:SMT_KEY:1,0xe5e23462178f118daeb03da7db6a6ef8e9129bac,1,nonce,22050070
polygon-zkevm:0xe5e23462178f118daeb03da7db6a6ef8e9129bac:SMT_KEY:2,0xe5e23462178f118daeb03da7db6a6ef8e9129bac,2,code_hash,22050070
polygon-zkevm:0xe5e23462178f118daeb03da7db6a6ef8e9129bac:SMT_KEY:4,0xe5e23462178f118daeb03da7db6a6ef8e9129bac,4,code_hash_length,22050070
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:0,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,0,balance,22050100
