case,method,repeat,target_id,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,online_framed_bytes,real_records,valid_root_independently_verified
uniform_n10000,pbc,0,8224,331.413041,0.053798,4.092204,0.250329,325.917196,0.121664,0.906816,0.066913,1048955,14,True
uniform_n10000,pbc,0,7967,318.660223,0.041086,4.085555,0.28452,313.295647,0.097784,0.797104,0.054616,1048955,12,True
uniform_n10000,pbc,0,6995,315.08753,0.039276,3.690888,0.249145,310.130137,0.091925,0.824966,0.057611,1048955,13,True
uniform_n10000,pbc,0,9468,326.826894,0.041923,3.176079,0.173712,322.420381,0.102053,0.847765,0.061946,1048955,14,True
uniform_n10000,pbc,0,5982,313.556093,0.05561,3.649581,0.262704,308.557221,0.104383,0.864441,0.058027,1048955,13,True
uniform_n10000,pbc,0,529,325.866379,0.037843,3.198825,0.225339,321.176548,0.098746,1.061146,0.063762,1048955,14,True
uniform_n10000,pbc,0,542,324.070949,0.041268,3.199837,0.187428,319.635956,0.09694,0.848345,0.058209,1048955,13,True
uniform_n10000,pbc,0,4109,315.096569,0.043499,3.681643,0.251747,310.008801,0.09965,0.944752,0.062661,1048955,13,True
cluster90_n10000,pbc,0,4238,313.686605,0.054146,3.688642,0.205978,308.771873,0.104345,0.80157,0.055494,1048955,23,True
cluster90_n10000,pbc,0,6995,318.941399,0.05853,3.878884,0.277627,313.750546,0.100888,0.813328,0.05752,1048955,22,True
cluster90_n10000,pbc,0,741,313.438723,0.060898,4.111221,0.350273,307.892036,0.096796,0.865851,0.057069,1048955,25,True
cluster90_n10000,pbc,0,3652,310.739286,0.05841,4.276551,0.241091,305.203994,0.093925,0.804602,0.056897,1048955,23,True
cluster90_n10000,pbc,0,7967,314.888889,0.05686,3.672965,0.238614,309.373087,0.094729,1.390707,0.056959,1048955,22,True
cluster90_n10000,pbc,0,9205,310.687324,0.124587,4.040925,0.231311,305.341184,0.081457,0.806284,0.056828,1048955,11,True
cluster90_n10000,pbc,0,5982,310.524351,0.06039,4.54832,0.276748,304.672184,0.096605,0.808653,0.05727,1048955,22,True
cluster90_n10000,pbc,0,8678,309.80545,0.063807,4.220768,0.280149,304.128467,0.102241,0.949163,0.056413,1048955,23,True
cluster90_n10000,pbc,0,3455,307.083728,0.06117,4.289499,0.240298,301.500841,0.09624,0.834442,0.057129,1048955,25,True
cluster90_n10000,pbc,0,4684,303.402452,0.053688,4.015098,0.265038,298.046724,0.093023,0.868082,0.056454,1048955,24,True
cluster90_n10000,ab,0,4238,293.617905,0.013259,3.679361,0.219136,288.671888,0.093965,0.871442,0.065551,1048955,23,True
cluster90_n10000,ab,0,6995,316.598911,0.012849,4.174613,0.232848,311.178395,0.103796,0.836351,0.05569,1048955,22,True
cluster90_n10000,ab,0,741,308.894968,0.012151,3.823663,0.382644,303.576398,0.102972,0.936307,0.055712,1048955,25,True
cluster90_n10000,ab,0,3652,300.269305,0.01258,3.123872,0.157537,296.013255,0.101656,0.800392,0.057365,1048955,23,True
