id,source_index,n,N,m,B_joint,OPT,original_AB,pair_union,three_color,three_then_four,original_AB_coloring_seconds,pair_additional_seconds,three_additional_seconds,four_additional_seconds,final_stop
S0723,723,13,24,5,5,5,5,5,5,5,0.0010099998908117414,8.499948307871819e-06,5.900044925510883e-06,4.500034265220165e-06,capacity_certificate
S0724,724,13,24,5,5,5,5,5,5,5,0.001267499988898635,1.0199961252510548e-05,6.800051778554916e-06,5.300040356814861e-06,capacity_certificate
S0725,725,13,24,4,6,6,7,7,6,6,0.000596199999563396,0.00013589998707175255,0.0009734999621286988,5.400041118264198e-06,capacity_certificate
S0726,726,13,24,6,4,4,5,5,4,4,0.0009286999702453613,0.00029280001763254404,0.004759100032970309,1.7000013031065464e-05,capacity_certificate
S0727,727,13,24,5,5,5,5,5,5,5,0.0012217001058161259,1.2199976481497288e-05,7.0999376475811005e-06,5.800044164061546e-06,capacity_certificate
S0728,728,13,24,5,5,5,5,5,5,5,0.0012592000421136618,1.200009137392044e-05,7.0999376475811005e-06,5.900044925510883e-06,capacity_certificate
S0729,729,13,24,6,4,4,5,5,4,4,0.0011541000567376614,0.0003168999683111906,0.00592929997947067,9.599956683814526e-06,capacity_certificate
S0730,730,13,24,5,5,5,5,5,5,5,0.001402399968355894,1.1999974958598614e-05,7.300055585801601e-06,5.899928510189056e-06,capacity_certificate
S0731,731,13,24,5,5,5,5,5,5,5,0.0011381000513210893,9.499955922365189e-06,6.00004568696022e-06,5.100038833916187e-06,capacity_certificate
S0732,732,13,24,5,5,5,5,5,5,5,0.0011548999464139342,1.0299962013959885e-05,6.600050255656242e-06,5.199923180043697e-06,capacity_certificate
S0733,733,13,24,5,5,5,5,5,5,5,0.001095399959012866,9.100069291889668e-06,6.4999330788850784e-06,5.500041879713535e-06,capacity_certificate
S0734,734,13,24,6,4,4,5,5,4,4,0.0016049999976530671,0.0004072999581694603,0.005500899977050722,9.7999582067132e-06,capacity_certificate
S0735,735,13,24,6,4,4,5,5,4,4,0.001790700014680624,0.00030670000705868006,0.004365699947811663,5.600042641162872e-06,capacity_certificate
S0736,736,13,24,6,4,4,5,5,4,4,0.0010215999791398644,0.00017899996601045132,0.002612299984320998,4.600035026669502e-06,capacity_certificate
S0737,737,13,24,6,4,4,5,5,4,4,0.0005093000363558531,0.00014500005636364222,0.002697699936106801,4.900037311017513e-06,capacity_certificate
S0738,738,13,24,5,5,5,5,5,5,5,0.0006003999151289463,6.00004568696022e-06,3.5999109968543053e-06,3.200024366378784e-06,capacity_certificate
S0739,739,13,24,5,5,5,5,5,5,5,0.0005985000170767307,5.600042641162872e-06,3.400025889277458e-06,2.600019797682762e-06,capacity_certificate
S0740,740,13,24,5,5,5,5,5,5,5,0.0005372000159695745,4.800036549568176e-06,3.200024366378784e-06,2.9999064281582832e-06,capacity_certificate
S0741,741,13,24,6,4,4,5,5,4,4,0.0005669000092893839,0.00016030005645006895,0.0035613999934867024,7.2999391704797745e-06,capacity_certificate
S0742,742,13,24,6,4,4,5,5,4,4,0.0008166999323293567,0.00022499996703118086,0.003891300060786307,6.09993003308773e-06,capacity_certificate
S0743,743,13,24,6,4,4,5,5,4,4,0.0008120000129565597,0.00022009992972016335,0.0036457000533118844,8.499948307871819e-06,capacity_certificate
S0744,744,13,24,5,5,5,5,5,5,5,0.0008052999619394541,7.900060154497623e-06,5.299923941493034e-06,4.200031980872154e-06,capacity_certificate
S0745,745,13,24,5,5,5,5,5,5,5,0.0009088000515475869,8.09994526207447e-06,4.700035788118839e-06,3.8000289350748062e-06,capacity_certificate
S0746,746,13,24,5,5,5,5,5,5,5,0.000784000032581389,6.400048732757568e-06,4.400033503770828e-06,3.999914042651653e-06,capacity_certificate
S0747,747,13,24,6,4,4,5,5,4,4,0.0007384000346064568,0.00021399999968707561,0.00396180001553148,5.600042641162872e-06,capacity_certificate
S0748,748,13,24,6,4,4,5,5,4,4,0.0005138999549672008,0.00014830008149147034,0.0024479998974129558,3.900029696524143e-06,capacity_certificate
S0749,749,13,24,5,5,5,5,5,5,5,0.0006136000156402588,5.900044925510883e-06,3.400025889277458e-06,2.599903382360935e-06,capacity_certificate
S0750,750,13,24,6,4,4,5,5,4,4,0.001130599994212389,0.00014589994680136442,0.0025146000552922487,3.500026650726795e-06,capacity_certificate
S0751,751,13,24,6,4,4,5,5,4,4,0.0004765000194311142,0.00013939989730715752,0.0024820000398904085,5.00003807246685e-06,capacity_certificate
S0752,752,13,24,6,4,4,5,5,4,4,0.000883100088685751,0.00017040001694113016,0.002554600010626018,3.500026650726795e-06,capacity_certificate
S0753,753,13,24,5,5,5,5,5,5,5,0.0008707999950274825,5.500041879713535e-06,3.5999109968543053e-06,2.800021320581436e-06,capacity_certificate
S0754,754,13,24,6,4,4,5,5,4,4,0.0006726999999955297,0.00014929997269064188,0.002557000028900802,3.700028173625469e-06,capacity_certificate
S0755,755,13,24,6,4,4,5,5,4,4,0.000494200037792325,0.00014180003199726343,0.0024150999961420894,3.600027412176132e-06,capacity_certificate
S0756,756,13,24,6,4,4,5,5,4,4,0.0005187999922782183,0.00014539994299411774,0.0027338999789208174,4.800036549568176e-06,capacity_certificate
S0757,757,13,24,6,4,4,5,5,4,4,0.000596199999563396,0.00015219999477267265,0.0026911000022664666,3.8000289350748062e-06,capacity_certificate
S0758,758,13,24,6,4,4,5,5,4,4,0.0005242000333964825,0.0001542998943477869,0.0027895000530406833,4.500034265220165e-06,capacity_certificate
S0759,759,13,24,5,5,5,5,5,5,5,0.0006918000290170312,7.3999399319291115e-06,4.300032742321491e-06,3.600027412176132e-06,capacity_certificate
S0760,760,13,24,6,4,4,5,5,4,4,0.0007333999965339899,0.00019390007946640253,0.0034049999667331576,5.300040356814861e-06,capacity_certificate
S0761,761,13,24,6,4,4,5,5,4,4,0.0007973000174388289,0.00020729994866997004,0.0034310000482946634,1.0599964298307896e-05,capacity_certificate
